100000 2700
2 1 93
3 1 993
4 3 491
5 4 738
6 2 16
7 1 863
8 5 6
9 8 669
10 8 121
11 1 942
12 5 920
13 11 380
14 5 747
15 14 53
16 5 763
17 11 653
18 6 878
19 7 368
20 13 218
21 6 293
22 6 221
23 2 102
24 12 306
25 22 748
26 7 647
27 18 310
28 5 237
29 7 339
30 25 342
31 14 288
32 1 165
33 14 813
34 13 651
35 12 913
36 23 80
37 21 845
38 1 746
39 32 787
40 6 242
41 5 375
42 18 848
43 36 242
44 25 276
45 7 362
46 24 765
47 40 711
48 31 574
49 2 52
50 25 766
51 18 146
52 38 744
53 33 637
54 52 943
55 2 849
56 43 93
57 40 904
58 39 441
59 6 61
60 32 622
61 12 932
62 24 334
63 35 327
64 33 52
65 1 203
66 6 851
67 8 805
68 26 354
69 50 240
70 51 674
71 49 231
72 62 596
73 30 160
74 46 731
75 8 412
76 65 418
77 41 515
78 6 222
79 60 157
80 77 613
81 13 284
82 65 792
83 10 674
84 62 299
85 40 19
86 13 253
87 24 320
88 76 68
89 68 339
90 14 627
91 45 565
92 12 387
93 42 565
94 90 414
95 4 165
96 53 353
97 25 774
98 15 935
99 64 448
100 98 622
101 2 522
102 9 70
103 92 2
104 88 35
105 79 15
106 43 202
107 89 905
108 14 515
109 5 591
110 81 999
111 11 88
112 36 626
113 90 12
114 66 3
115 85 441
116 61 345
117 33 745
118 83 160
119 59 149
120 42 287
121 13 142
122 95 577
123 81 440
124 114 682
125 95 106
126 82 933
127 54 407
128 125 654
129 34 17
130 16 805
131 82 203
132 124 362
133 77 165
134 55 101
135 51 422
136 68 112
137 48 153
138 93 878
139 57 400
140 44 31
141 103 890
142 122 524
143 16 292
144 138 430
145 88 724
146 132 625
147 13 699
148 12 537
149 78 765
150 146 694
151 6 825
152 69 340
153 145 631
154 130 745
155 111 490
156 96 963
157 125 258
158 31 982
159 149 558
160 56 628
161 1 826
162 24 345
163 27 839
164 162 974
165 119 870
166 124 379
167 149 385
168 134 955
169 112 243
170 96 796
171 58 161
172 153 683
173 105 238
174 119 514
175 49 449
176 45 242
177 174 266
178 138 497
179 173 173
180 102 777
181 21 820
182 14 686
183 93 190
184 108 819
185 95 323
186 58 955
187 115 335
188 181 828
189 177 759
190 50 861
191 31 945
192 33 616
193 185 958
194 114 733
195 154 434
196 107 425
197 7 771
198 100 251
199 65 480
200 68 236
201 127 84
202 24 848
203 91 425
204 125 328
205 92 894
206 121 254
207 92 713
208 125 533
209 119 553
210 118 107
211 115 334
212 105 819
213 136 107
214 150 888
215 50 691
216 32 367
217 102 921
218 210 800
219 104 361
220 110 687
221 140 362
222 36 701
223 10 504
224 222 568
225 48 198
226 24 178
227 91 922
228 91 474
229 77 230
230 22 275
231 104 420
232 51 50
233 95 652
234 97 614
235 76 149
236 153 646
237 95 884
238 109 806
239 1 241
240 52 212
241 61 488
242 47 253
243 149 653
244 93 780
245 187 10
246 195 203
247 23 852
248 94 8
249 41 7
250 230 837
251 17 526
252 32 110
253 97 871
254 146 893
255 194 829
256 232 195
257 1 625
258 101 714
259 118 870
260 59 975
261 88 918
262 46 371
263 180 528
264 5 510
265 34 787
266 121 284
267 231 13
268 97 290
269 257 526
270 139 759
271 227 352
272 94 29
273 172 363
274 119 433
275 210 690
276 23 379
277 219 491
278 131 701
279 168 831
280 220 25
281 238 405
282 174 300
283 118 474
284 229 121
285 135 15
286 241 940
287 31 982
288 230 704
289 179 407
290 67 713
291 215 359
292 239 257
293 174 377
294 152 70
295 215 649
296 226 544
297 211 852
298 151 656
299 78 212
300 224 33
301 97 441
302 259 234
303 294 29
304 251 632
305 292 235
306 46 935
307 135 539
308 219 174
309 269 39
310 46 40
311 94 754
312 189 117
313 146 341
314 290 629
315 25 969
316 48 512
317 124 114
318 151 969
319 259 777
320 96 67
321 75 529
322 240 535
323 292 30
324 279 460
325 151 138
326 19 178
327 225 40
328 47 429
329 271 679
330 8 534
331 95 799
